time,open,high,low,close,volume
2021-01-28 20:00:00,10.72,10.72,10.7001,10.7001,1458
2021-01-28 19:59:00,10.71,10.71,10.71,10.71,861
2021-01-28 19:58:00,10.7,10.7,10.7,10.7,1765
2021-01-28 19:57:00,10.71,10.71,10.7,10.7,1016
2021-01-28 19:56:00,10.71,10.71,10.7,10.7,949
2021-01-28 19:55:00,10.71,10.71,10.71,10.71,1286
2021-01-28 19:54:00,10.72,10.72,10.7,10.72,2089
2021-01-28 19:53:00,10.7,10.71,10.7,10.71,751
2021-01-28 19:52:00,10.71,10.71,10.71,10.71,477
2021-01-28 19:51:00,10.695,10.7,10.695,10.7,1505
2021-01-28 19:50:00,10.7,10.7,10.7,10.7,308
2021-01-28 19:49:00,10.695,10.7,10.695,10.7,609
2021-01-28 19:48:00,10.7,10.7,10.69,10.69,831
2021-01-28 19:47:00,10.71,10.71,10.71,10.71,100
2021-01-28 19:46:00,10.7,10.7,10.7,10.7,251
2021-01-28 19:45:00,10.7,10.7,10.7,10.7,5326
2021-01-28 19:44:00,10.72,10.72,10.7,10.7,488
2021-01-28 19:43:00,10.71,10.71,10.71,10.71,842
2021-01-28 19:41:00,10.72,10.72,10.72,10.72,2500
2021-01-28 19:40:00,10.72,10.72,10.71,10.71,293
2021-01-28 19:39:00,10.72,10.72,10.72,10.72,313
2021-01-28 19:38:00,10.7,10.72,10.7,10.72,1858
2021-01-28 19:36:00,10.7,10.7,10.7,10.7,4850
2021-01-28 19:35:00,10.71,10.71,10.7,10.7,2128
2021-01-28 19:32:00,10.71,10.71,10.7,10.7,540
2021-01-28 19:31:00,10.7,10.71,10.7,10.71,10040
2021-01-28 19:28:00,10.7,10.7,10.7,10.7,157
2021-01-28 19:27:00,10.7,10.71,10.7,10.71,1971
2021-01-28 19:26:00,10.71,10.71,10.71,10.71,4773
2021-01-28 19:25:00,10.71,10.71,10.71,10.71,116
2021-01-28 19:24:00,10.71,10.71,10.71,10.71,2759
2021-01-28 19:23:00,10.72,10.72,10.72,10.72,501
2021-01-28 19:22:00,10.71,10.71,10.71,10.71,736
2021-01-28 19:20:00,10.7199,10.7199,10.7199,10.7199,520
2021-01-28 19:18:00,10.72,10.72,10.72,10.72,500
2021-01-28 19:17:00,10.72,10.72,10.72,10.72,252
2021-01-28 19:15:00,10.71,10.71,10.71,10.71,1272
2021-01-28 19:13:00,10.71,10.71,10.71,10.71,1400
2021-01-28 19:09:00,10.73,10.73,10.73,10.73,2661
2021-01-28 19:08:00,10.72,10.72,10.72,10.72,1148
2021-01-28 19:07:00,10.72,10.72,10.7199,10.7199,11001
2021-01-28 19:06:00,10.71,10.71,10.71,10.71,560
2021-01-28 19:05:00,10.72,10.72,10.72,10.72,549
2021-01-28 19:04:00,10.72,10.72,10.71,10.71,1514
2021-01-28 19:03:00,10.73,10.73,10.73,10.73,221
2021-01-28 19:01:00,10.73,10.73,10.73,10.73,100
2021-01-28 19:00:00,10.71,10.71,10.71,10.71,1027
2021-01-28 18:58:00,10.72,10.72,10.72,10.72,125
2021-01-28 18:55:00,10.72,10.72,10.71,10.72,9034
2021-01-28 18:54:00,10.72,10.72,10.7101,10.7101,2201
2021-01-28 18:48:00,10.73,10.73,10.73,10.73,1005
2021-01-28 18:47:00,10.72,10.72,10.72,10.72,127
2021-01-28 18:46:00,10.72,10.72,10.72,10.72,100
2021-01-28 18:45:00,10.71,10.71,10.71,10.71,100
2021-01-28 18:44:00,10.72,10.72,10.72,10.72,282
2021-01-28 18:43:00,10.72,10.72,10.72,10.72,5111
2021-01-28 18:41:00,10.73,10.73,10.72,10.72,907
2021-01-28 18:40:00,10.72,10.72,10.72,10.72,134
2021-01-28 18:39:00,10.73,10.73,10.73,10.73,556
2021-01-28 18:38:00,10.73,10.73,10.73,10.73,105
2021-01-28 18:36:00,10.72,10.72,10.72,10.72,130
2021-01-28 18:34:00,10.72,10.7201,10.71,10.7201,15202
2021-01-28 18:33:00,10.72,10.72,10.71,10.72,2288
2021-01-28 18:32:00,10.72,10.72,10.71,10.71,1351
2021-01-28 18:31:00,10.72,10.72,10.71,10.71,707
2021-01-28 18:30:00,10.72,10.72,10.72,10.72,10530
2021-01-28 18:29:00,10.71,10.72,10.71,10.71,2598
2021-01-28 18:28:00,10.71,10.72,10.71,10.72,1491
2021-01-28 18:27:00,10.71,10.71,10.71,10.71,1293
2021-01-28 18:25:00,10.71,10.71,10.71,10.71,1285
2021-01-28 18:23:00,10.71,10.71,10.71,10.71,3001
2021-01-28 18:22:00,10.73,10.73,10.73,10.73,226
2021-01-28 18:21:00,10.7101,10.7101,10.7101,10.7101,2057
2021-01-28 18:20:00,10.73,10.73,10.72,10.72,3460
2021-01-28 18:19:00,10.72,10.72,10.72,10.72,158
2021-01-28 18:18:00,10.72,10.72,10.72,10.72,1304
2021-01-28 18:17:00,10.72,10.72,10.72,10.72,2006
2021-01-28 18:16:00,10.72,10.73,10.72,10.73,2232
2021-01-28 18:14:00,10.71,10.71,10.71,10.71,801
2021-01-28 18:13:00,10.71,10.71,10.71,10.71,200
2021-01-28 18:12:00,10.72,10.72,10.72,10.72,100
2021-01-28 18:10:00,10.71,10.71,10.71,10.71,3171
2021-01-28 18:09:00,10.72,10.72,10.72,10.72,3580
2021-01-28 18:08:00,10.73,10.73,10.73,10.73,114
2021-01-28 18:07:00,10.73,10.73,10.72,10.72,3000
2021-01-28 18:06:00,10.73,10.73,10.73,10.73,656
2021-01-28 18:05:00,10.73,10.73,10.73,10.73,202
2021-01-28 18:04:00,10.74,10.74,10.73,10.73,1533
2021-01-28 18:03:00,10.73,10.73,10.73,10.73,1301
2021-01-28 18:02:00,10.73,10.73,10.73,10.73,312
2021-01-28 18:01:00,10.74,10.74,10.74,10.74,792
2021-01-28 18:00:00,10.74,10.74,10.74,10.74,588
2021-01-28 17:58:00,10.73,10.74,10.73,10.74,9533
2021-01-28 17:57:00,10.73,10.73,10.73,10.73,678
2021-01-28 17:56:00,10.73,10.73,10.73,10.73,16454
2021-01-28 17:55:00,10.74,10.74,10.73,10.73,1548
2021-01-28 17:54:00,10.73,10.74,10.73,10.74,1094
2021-01-28 17:53:00,10.75,10.75,10.75,10.75,525
2021-01-28 17:52:00,10.73,10.73,10.73,10.73,973
2021-01-28 17:50:00,10.73,10.73,10.73,10.73,2076
2021-01-28 17:48:00,10.7499,10.7499,10.7499,10.7499,740
2021-01-28 17:47:00,10.73,10.75,10.73,10.75,1139
2021-01-28 17:46:00,10.74,10.75,10.73,10.75,777
2021-01-28 17:45:00,10.75,10.75,10.73,10.75,9249
2021-01-28 17:44:00,10.73,10.75,10.73,10.73,2280
2021-01-28 17:42:00,10.74,10.74,10.74,10.74,286
2021-01-28 17:41:00,10.74,10.74,10.74,10.74,778
2021-01-28 17:40:00,10.74,10.74,10.73,10.73,1302
2021-01-28 17:39:00,10.75,10.75,10.74,10.7499,2488
2021-01-28 17:38:00,10.74,10.74,10.73,10.73,2083
2021-01-28 17:37:00,10.73,10.73,10.73,10.73,1498
2021-01-28 17:36:00,10.74,10.74,10.74,10.74,1480
2021-01-28 17:35:00,10.74,10.74,10.73,10.73,887
2021-01-28 17:34:00,10.75,10.75,10.75,10.75,610
2021-01-28 17:33:00,10.75,10.75,10.75,10.75,464
2021-01-28 17:32:00,10.7301,10.75,10.7301,10.75,3009
2021-01-28 17:31:00,10.73,10.74,10.73,10.74,735
2021-01-28 17:30:00,10.73,10.75,10.73,10.75,1375
2021-01-28 17:29:00,10.73,10.74,10.73,10.74,849
2021-01-28 17:28:00,10.74,10.74,10.74,10.74,577
2021-01-28 17:27:00,10.7301,10.74,10.73,10.74,1134
2021-01-28 17:26:00,10.74,10.74,10.74,10.74,1190
2021-01-28 17:25:00,10.7499,10.75,10.7499,10.75,372
2021-01-28 17:24:00,10.74,10.75,10.73,10.73,3441
2021-01-28 17:23:00,10.75,10.75,10.74,10.75,2527
2021-01-28 17:22:00,10.74,10.74,10.74,10.74,551
2021-01-28 17:21:00,10.74,10.74,10.74,10.74,440
2021-01-28 17:20:00,10.74,10.74,10.72,10.72,2698
2021-01-28 17:19:00,10.74,10.74,10.73,10.73,1693
2021-01-28 17:18:00,10.73,10.74,10.73,10.73,3384
2021-01-28 17:17:00,10.73,10.7399,10.73,10.7399,1333
2021-01-28 17:16:00,10.73,10.73,10.72,10.72,388
2021-01-28 17:15:00,10.73,10.73,10.73,10.73,689
2021-01-28 17:14:00,10.73,10.73,10.72,10.72,1013
2021-01-28 17:13:00,10.73,10.73,10.73,10.73,195
2021-01-28 17:12:00,10.73,10.73,10.73,10.73,2303
2021-01-28 17:11:00,10.7301,10.74,10.73,10.74,1134
